"Filename";"Name";"Date";"Style";"Genre";"Tags";"Artist"
"unicorn-1885";"Silence of the Forest";1885;"Symbolism";"mythological painting";"('animals')";"Arnold Bocklin"
"destroyed-house-in-kehl-1870";"Destroyed house in Kehl";1870;"Symbolism";"landscape";"('ruins-and-columns', 'cliffs-and-rocks')";"Arnold Bocklin"
"attack-by-pirates-1880";"Attack by Pirates";1880;"Symbolism";"battle painting";"('boats-and-ships', 'islands-and-bays', 'pirates', 'naval-battles', ""Devil's bridge"")";"Arnold Bocklin"
"tavern-in-ancient-rome-1867";"Tavern in ancient Rome";1867;"Romanticism";"landscape";"('taverns-and-inns', 'Rome', 'monuments-and-statues', 'walking')";"Arnold Bocklin"
"triton-carrying-a-nereid-on-his-back-1875";"Triton carrying a nereid on his back";1875;"Symbolism";"mythological painting";"('Greek-and-Roman-Mythology', 'nymphs-and-satyrs', 'Cupid-and-Psyche', 'seas-and-oceans', 'Mythology')";"Arnold Bocklin"
"girl-and-boy-picking-flowers-1866";"Girl and boy picking flowers";1866;"Symbolism";;"('female-nude', 'couples', 'male-nude', 'leisure-and-sleep', 'Mythology', 'Human body')";"Arnold Bocklin"
"centaur-and-nymph";"Centaur and nymph";;"Symbolism";"mythological painting";"('Greek-and-Roman-Mythology', 'nymphs-and-satyrs', 'Centaurs')";"Arnold Bocklin"
"the-deposition-1874";"The Deposition";1874;"Symbolism";"religious painting";"('Christianity', 'saints-and-apostles', 'Virgin-Mary', 'Mythology')";"Arnold Bocklin"
"pieta-1885";"Pietà";1885;"Symbolism";"religious painting";"('Christianity', 'Jesus-Christ', 'Pietà', 'Human')";"Arnold Bocklin"
"children-carving-may-flutes-1877";"Children carving may flutes";1877;"Symbolism";;"('spring', 'children', 'musical-instruments', 'People in nature', 'Grass family', 'Bank', 'Grass')";"Arnold Bocklin"
"nymphs-bathing-1865";"Nymphs bathing";1865;"Symbolism";"mythological painting";"('nymphs-and-satyrs', 'bathing-and-swimming', 'Natural landscape', 'Tree', 'Bank', 'River')";"Arnold Bocklin"
"fighting-on-a-bridge";"Fighting on a bridge";;"Symbolism";"battle painting";"('battles-and-wars', 'horsemen', 'Mythology')";"Arnold Bocklin"
"portrait-of-actress-fanny-janauscher";"Portrait of The Tragic Actress Fanny Janauschek";1861;"Romanticism";"portrait";"('female-portraits', 'Clothing', 'Fur', 'fashion', 'Dress', 'Fur clothing', 'Outerwear', 'Long hair', 'actors-and-performances')";"Arnold Bocklin"
"on-the-pontine-swamps-1851";"On the Pontine swamps";1851;"Romanticism";"landscape";"('forests-and-trees', 'swamps', 'Tree', 'Sky', 'Plant community')";"Arnold Bocklin"
"the-chapel-1898";"The Chapel";1898;"Symbolism";"landscape";"('allegories-and-symbols', 'ruins-and-columns', 'Ruins', 'Water', 'Arch')";"Arnold Bocklin"
"diana-sleeping-with-two-fauns-1877";"Diana sleeping with two fauns";1877;"Symbolism";"mythological painting";"('Greek-and-Roman-Mythology', 'fauns', 'Artemis/Diana', 'leisure-and-sleep', 'Mythology')";"Arnold Bocklin"
"triton-and-nereid-1877";"Triton and Nereid";1877;"Symbolism";"sketch and study";"('female-nude', 'Greek-and-Roman-Mythology', 'Mythology')";"Arnold Bocklin"
"medusa";"Medusa";;"Symbolism";"mythological painting";"('Greek-and-Roman-Mythology', 'Medusa', 'Face', 'Head', 'Lady', 'Chin')";"Arnold Bocklin"
"study-to-war-1896";"Study to 'War'";1896;"Symbolism";"sketch and study";"('allegories-and-symbols', 'battles-and-wars', 'skeletons-and-skulls', 'flying')";"Arnold Bocklin"
"spring-night";"Spring night";;"Symbolism";"mythological painting";"('spring', 'nymphs-and-satyrs', 'night', 'Pan/Satyr', 'Sky')";"Arnold Bocklin"
"pan-whistling-at-a-blackbird-1863";"Pan whistling at a blackbird";1863;"Symbolism";"mythological painting";"('Greek-and-Roman-Mythology', 'Pan/Satyr', 'Human')";"Arnold Bocklin"
"night-1895";"Night";1895;"Symbolism";"allegorical painting";"('allegories-and-symbols', 'musical-instruments', 'flying', 'night')";"Arnold Bocklin"
"the-wake-up-spring";"The Wake-Up Spring";;"Symbolism";"allegorical painting";"('allegories-and-symbols', 'spring', 'walking', 'leisure-and-sleep', 'Water', 'Human')";"Arnold Bocklin"
"vita-somnium-breve-1888";"Vita somnium breve";1888;"Symbolism";"allegorical painting";"('allegories-and-symbols', 'children')";"Arnold Bocklin"
"venus-anadyomene-1872";"Venus Anadyomene";1872;"Symbolism";"mythological painting";"('Greek-and-Roman-Mythology', 'Aphrodite/Venus', 'Mythology', 'Water', 'Tree', 'Fictional character')";"Arnold Bocklin"
"villa-by-the-sea-1864";"Villa by the Sea";1864;"Romanticism";"landscape";"('villas-and-residences')";"Arnold Bocklin"
"self-portrait-in-studio-1893";"Self-Portrait in Studio";1893;"Symbolism";"self-portrait";"('arts-and-crafts', 'male-portraits', 'famous-people', 'Gentleman')";"Arnold Bocklin"
"under-the-arbor-1891";"Under the arbor";1891;"Symbolism";;"('countryside', 'couples', 'leisure-and-sleep')";"Arnold Bocklin"
"villa-by-the-sea-1865";"Villa by the Sea";1865;"Romanticism";"landscape";"('villas-and-residences', 'lonely figures', 'Cliff', 'Rock', 'Water', 'Bank', 'Tree', 'Terrain')";"Arnold Bocklin"
"portrait-of-alexander-michelis-1846";"Portrait of Alexander Michelis";1846;"Romanticism";"portrait";"('male-portraits', 'Chin', 'Gentleman', 'Forehead')";"Arnold Bocklin"
"portrait-of-clara-bocklin-1872";"Portrait of Clara Böcklin";1872;"Symbolism";"portrait";"('female-portraits', 'Lady')";"Arnold Bocklin"
"meerestille-calm-sea-1887";"Meerestille (Calm Sea)";1887;"Symbolism";"mythological painting";"('female-nude', 'Greek-and-Roman-Mythology', 'seas-and-oceans', 'Mermaid', 'birds')";"Arnold Bocklin"
"the-sanctuary-of-hercules-1884";"The Sanctuary of Hercules";1884;"Symbolism";"mythological painting";"('Greek-and-Roman-Mythology', 'Heracles/Hercules')";"Arnold Bocklin"
"the-rest-on-the-flight-into-egypt";"The Rest on the Flight into Egypt";;"Symbolism";"religious painting";"('Christianity', 'Jesus-Christ', 'villas-and-residences', 'Flight-into-Egypt', 'Virgin-Mary', 'Tree', 'Ruins', 'Rock')";"Arnold Bocklin"
"fighting-on-a-bridge-0";"Fighting on a bridge";;"Symbolism";"battle painting";"('battles-and-wars', 'horsemen', 'Mythology')";"Arnold Bocklin"
"nymph-by-the-fountain";"Nymph by the  fountain";;"Symbolism";"mythological painting";"('animals', 'nymphs-and-satyrs', 'lonely figures', 'Tree')";"Arnold Bocklin"
"soldiers-amount-towards-a-mountain-fortress";"Soldiers amount towards a mountain fortress";;"Romanticism";"landscape";"('castles-and-fortresses', 'military-and-soldiers', 'mountains', 'Sky', 'Natural landscape')";"Arnold Bocklin"
"honeymoon-1890";"Honeymoon";1890;"Symbolism";;"('couples', 'mountains', 'Lady')";"Arnold Bocklin"
"idyll-1866";"Idyll";1866;"Symbolism";;"('allegories-and-symbols', 'female-nude', 'male-nude', 'Mythology')";"Arnold Bocklin"
"hymn-to-spring";"Hymn to spring";;"Symbolism";"allegorical painting";"('spring', 'female-nude', 'Cupid-and-Psyche', 'Mythology')";"Arnold Bocklin"
"angelika-guarded-by-a-dragon-angelica-and-ruggiero-1872";"Angelika, guarded by a dragon (Angelica and Ruggiero)";1872;"Symbolism";"literary painting";"('knights-and-warriors', 'fictional-characters', 'beasts-and-dragons', 'Angelica', 'Mythology')";"Arnold Bocklin"
"triton-and-nereid";"Triton and Nereid";;"Symbolism";"mythological painting";"('Greek-and-Roman-Mythology', 'nymphs-and-satyrs', 'seas-and-oceans', 'Mythology')";"Arnold Bocklin"
"ideal-spring-landscape-1871";"Ideal spring landscape";1871;"Symbolism";;"('allegories-and-symbols', 'spring', 'couples', 'walking', 'leisure-and-sleep', 'Lady', 'Tree')";"Arnold Bocklin"
"assassin-pursued-by-furies";"Assassin pursued by furies";;"Symbolism";"mythological painting";"('allegories-and-symbols', 'murder-and-suicide')";"Arnold Bocklin"
"sanctuary-of-hercules-1880";"Sanctuary of Hercules";1880;"Symbolism";"landscape";"('religious-items', 'forests-and-trees', 'night')";"Arnold Bocklin"
"the-sea";"The sea";;"Symbolism";"mythological painting";"('nymphs-and-satyrs', 'seas-and-oceans', 'Mythology', 'Human')";"Arnold Bocklin"
"playing-in-the-waves-1883";"Playing in the Waves";1883;"Symbolism";"mythological painting";"('Greek-and-Roman-Mythology', 'nymphs-and-satyrs', 'seas-and-oceans', 'Water', 'Bathing', 'Mythology', 'Fun')";"Arnold Bocklin"
"prometheuslandschaft-1885";"Prometheuslandschaft";1885;;;"('Nature', 'Natural landscape', 'Formation', 'Sky', 'Atmospheric phenomenon', 'Rock', 'Cliff', 'Watercourse', 'Terrain')";"Arnold Bocklin"
"idyll-pan-amidst-columns-1875";"Idyll (Pan Amidst Columns)";1875;"Symbolism";"mythological painting";"('Greek-and-Roman-Mythology', 'ruins-and-columns', 'musical-instruments', 'Pan/Satyr', 'Botany', 'Tree', 'Plant')";"Arnold Bocklin"
"the-spring-of-love";"The Spring of Love";;"Symbolism";"allegorical painting";"('allegories-and-symbols', 'spring', 'female-nude', 'male-nude', 'Cupid-and-Psyche', 'Mythology')";"Arnold Bocklin"
"odysseus-by-the-sea-1869";"Odysseus by the sea";1869;"Symbolism";"literary painting";"('Greek-and-Roman-Mythology', 'male-nude', 'Odysseus/Ulysses')";"Arnold Bocklin"
"melancholia";"Melancholia";;"Symbolism";"allegorical painting";"('women-and-mirrors', 'characters-and-emotions')";"Arnold Bocklin"
"the-moorish-cavaliers";"The Moorish Cavaliers";;"Symbolism";"landscape";"('castles-and-fortresses', 'horsemen', 'Natural landscape', 'Pasture', 'Tree', 'Rural area')";"Arnold Bocklin"
"the-island-of-life-1888";"The Island of Life";1888;"Symbolism";"allegorical painting";"('allegories-and-symbols', 'boats-and-ships', 'islands-and-bays', 'Bank', 'Waterway')";"Arnold Bocklin"
"the-summers-day-1881";"The Summer's Day";1881;"Symbolism";"landscape";"('summer', 'rivers-and-waterfalls', 'bathing-and-swimming', 'Tree', 'Natural landscape', 'Nature', 'Sky', 'Reflection', 'Woody plant', 'Water', 'Cloud')";"Arnold Bocklin"
"self-portrait-with-death-as-a-fiddler-1872";"Self-Portrait with Death as a Fiddler";1872;"Symbolism";"self-portrait";"('allegories-and-symbols', 'Fiddle', 'Death', 'Skeleton', 'self-portrait')";"Arnold Bocklin"
"dragon-walking-between-rocks";"Dragon walking between rocks";;"Symbolism";"mythological painting";"('allegories-and-symbols', 'beasts-and-dragons', 'mountains', 'Rock', 'Geological phenomenon')";"Arnold Bocklin"
"petrarch-by-the-fountain-of-vaucluse";"Petrarch by the fountain of Vaucluse";;"Symbolism";"portrait";"('allegories-and-symbols', 'famous-people', 'Tree', 'sunlight', 'Forest')";"Arnold Bocklin"
"putto-and-butterfly-1896";"Putto and Butterfly";1896;"Symbolism";"mythological painting";"('children', 'cherubs-and-seraphs', 'Lady')";"Arnold Bocklin"
"odysseus-und-kalypso-1883";"Ulysses and Calypso";1883;"Symbolism";"literary painting";"('Greek-and-Roman-Mythology', 'nymphs-and-satyrs', 'Odysseus/Ulysses', 'Rock', 'Formation', 'Sitting', 'female-nude', 'Homer')";"Arnold Bocklin"
"the-liberty-1891";"The Liberty";1891;"Symbolism";"allegorical painting";"('allegories-and-symbols', 'female-nude', 'Fictional character')";"Arnold Bocklin"
"centaurs-1873";"Battle of the Centaurs";1873;"Symbolism";"mythological painting";"('battles-and-wars', 'Centaurs', 'Mythology')";"Arnold Bocklin"
"pan-frightening-a-shepherd-0";"Pan frightening a shepherd";;"Symbolism";"mythological painting";"('animals', 'Greek-and-Roman-Mythology', 'goats', 'shepherds', 'Pan/Satyr')";"Arnold Bocklin"
"centaur-at-the-village-blacksmiths-shop-1888";"Centaur at the Village Blacksmith's Shop";1888;"Symbolism";"mythological painting";"('allegories-and-symbols', 'countryside', 'Centaurs')";"Arnold Bocklin"
"abandoned-venus";"Abandoned Venus";;"Symbolism";"landscape";"('Aphrodite/Venus', 'forests-and-trees', 'Tree')";"Arnold Bocklin"
"melancholy";"Melancholy";;"Symbolism";"portrait";"('allegories-and-symbols', 'female-portraits', 'characters-and-emotions', 'Hair', 'Lady')";"Arnold Bocklin"
"portrait-of-angela-bocklin-in-red-fishnet";"Portrait of Angela Böcklin in red fishnet";;"Romanticism";"portrait";"('female-portraits', 'Hair', 'Hairstyle', 'Lady', 'Chin', 'Headpiece', 'Headgear')";"Arnold Bocklin"
"syrinx-fleeing-from-the-onslaught-of-pan";"Syrinx fleeing from the onslaught of Pan";;"Symbolism";"mythological painting";"('Greek-and-Roman-Mythology', 'nymphs-and-satyrs', 'Syrinx', 'Pan/Satyr', 'Mythology', 'Sky')";"Arnold Bocklin"
"will-o-the-wisp-1862";"Will-o'-the-wisp";1862;"Symbolism";"landscape";"('forests-and-trees', 'night', ""will-o'-the-wisp"", 'Brown')";"Arnold Bocklin"
"vestal-1874";"Vestal";1874;"Symbolism";"portrait";"('female-portraits', 'priests-and-sacraments', 'Lady')";"Arnold Bocklin"
"gottfried-keller-1889";"Gottfried Keller";1889;"Symbolism";"portrait";"('male-portraits')";"Arnold Bocklin"
"the-plague-1898";"The Plague";1898;"Symbolism";"allegorical painting";"('allegories-and-symbols', 'devils-and-demons', 'Death', 'Plague-of-Pestilence')";"Arnold Bocklin"
"villa-by-the-sea-1878";"Villa by the Sea";1878;"Symbolism";"landscape";"('villas-and-residences', 'lonely figures', 'Water', 'Ruins', 'Rock')";"Arnold Bocklin"
"the-surf-1883";"The Surf";1883;"Symbolism";"mythological painting";"('allegories-and-symbols', 'female-nude', 'Lady')";"Arnold Bocklin"
"pan-among-the-reeds-1858";"Pan among the reeds";1858;"Symbolism";"mythological painting";"('Greek-and-Roman-Mythology', 'Pan/Satyr', 'Tree')";"Arnold Bocklin"
"the-isle-of-the-dead-1886";"The Isle of the Dead";1886;"Symbolism";"allegorical painting";"('allegories-and-symbols', 'boats-and-ships', 'islands-and-bays', 'Nature', 'Rock', 'Sky', 'Formation', 'Ruins')";"Arnold Bocklin"
"the-bagpiper-1861";"The Bagpiper";1861;"Symbolism";"landscape";"('musical-instruments', 'forests-and-trees', 'lonely figures', 'bagpipers', 'Tree', 'Atmospheric phenomenon', 'Sky', 'Branch')";"Arnold Bocklin"
"portrait-of-the-singer-karl-wallenreiter";"Portrait of the singer Karl Wallenreiter";;"Symbolism";"portrait";"('male-portraits', 'Gentleman', 'Male', 'Facial hair')";"Arnold Bocklin"
"autumn-thoughts";"Autumn thoughts";;"Romanticism";;"('autumn', 'lonely figures', 'People in nature', 'Reflection', 'Tree', 'Water', 'Woody plant', 'Bayou', 'Bank')";"Arnold Bocklin"
"mermaids-at-play-1886";"Mermaids at Play";1886;"Symbolism";"mythological painting";"('Greek-and-Roman-Mythology', 'nymphs-and-satyrs', 'seas-and-oceans', 'Mythology', 'Fun')";"Arnold Bocklin"
"the-penitent-mary-magdalene-1873";"The Penitent Mary Magdalene";1873;"Symbolism";"religious painting";"('Christianity', 'saints-and-apostles', 'Lady')";"Arnold Bocklin"
"the-adventurer-1882";"The adventurer";1882;"Symbolism";;"('male-portraits', 'knights-and-warriors', 'horsemen')";"Arnold Bocklin"
"angelika-guarded-by-a-dragon-1880";"Angelika, guarded by a dragon";1880;"Symbolism";"literary painting";"('female-nude', 'knights-and-warriors', 'fictional-characters', 'beasts-and-dragons', 'Angelica', 'Mythology', 'Fictional character')";"Arnold Bocklin"
"nessus-and-deianeira";"Nessus and Deianeira";1898;"Symbolism";"mythological painting";"('Greek-and-Roman-Mythology', 'Centaurs', 'Heracles/Hercules', 'Nessus', 'Mythology', 'Human')";"Arnold Bocklin"
"arable-land-corridors-in-the-early-spring";"Arable land corridors in the early spring.";;"Romanticism";"landscape";"('fields-and-plains', 'Photograph', 'Sky', 'Tree', 'Snapshot', 'morning', 'Road', 'sunlight', 'Grass', 'Infrastructure')";"Arnold Bocklin"
"pan-among-the-reeds-1859";"Pan among the reeds";1859;"Romanticism";"mythological painting";"('Greek-and-Roman-Mythology', 'Pan/Satyr', 'Tree', 'Vegetation', 'Palm tree', 'Date palm', 'Plant', 'Arecales', 'Grass family', 'Elaeis', 'Woody plant', 'Sky')";"Arnold Bocklin"
"pan-chasing-a-nymph-1855";"Pan chasing a Nymph";1855;"Symbolism";"mythological painting";"('Greek-and-Roman-Mythology', 'nymphs-and-satyrs', 'Pan/Satyr', 'Sketch')";"Arnold Bocklin"
"nymph-1875";"Nymph";1875;"Symbolism";"mythological painting";"('Greek-and-Roman-Mythology', 'nymphs-and-satyrs')";"Arnold Bocklin"
"prometheus-1883";"Prometheus";1883;"Symbolism";"mythological painting";"('allegories-and-symbols', 'mountains', 'night', 'Formation', 'Rock', 'Cliff', 'Geological phenomenon', 'Terrain')";"Arnold Bocklin"
"st-anthony-1892";"St. Anthony";1892;"Symbolism";"religious painting";"('Christianity', 'saints-and-apostles', 'St.-Anthony', 'Picture frame')";"Arnold Bocklin"
"march-of-the-goths";"March of the Goths";;"Romanticism";;"('allegories-and-symbols', 'knights-and-warriors', 'horsemen', 'night', 'Mythology')";"Arnold Bocklin"
"the-ride-of-death-the-fall-and-death";"The Ride of Death (The Fall and Death)";;"Symbolism";"allegorical painting";"('allegories-and-symbols', 'autumn', 'night', 'Tree')";"Arnold Bocklin"
"returning-home-1887";"Returning home";1887;"Symbolism";;"('autumn', 'solitude', 'fountains-and-pools', 'Reflection', 'Sky')";"Arnold Bocklin"
"euterpe-1872";"Euterpe";1872;"Symbolism";"mythological painting";"('Greek-and-Roman-Mythology', 'muses', 'musical-instruments')";"Arnold Bocklin"
"fir-trees-at-sunset";"Fir trees at sunset";;"Romanticism";"landscape";"('sunrise-and-sunset', 'Sky', 'Tree', 'Atmospheric phenomenon', 'Wilderness', 'Woody plant', 'Evening', 'Plant', 'Cloud', 'Sunset')";"Arnold Bocklin"
"elysian-fields-1877";"Elysian Fields";1877;"Symbolism";"mythological painting";"('birds', 'couples', 'lakes-and-ponds', 'swans', 'leisure-and-sleep', 'mermaids', 'Tree', 'Bayou')";"Arnold Bocklin"
"pan-frightening-a-shepherd";"Pan frightening a shepherd";;"Symbolism";"mythological painting";"('animals', 'Greek-and-Roman-Mythology', 'goats', 'shepherds', 'Pan/Satyr', 'Terrain')";"Arnold Bocklin"
"ruins-in-the-moonlit-landscape-1849";"Ruins in the moonlit landscape";1849;"Symbolism";"landscape";"('ruins-and-columns', 'night', 'Sky', 'Ruins')";"Arnold Bocklin"
"ruins-by-the-sea-1880";"Ruins by the Sea";1880;"Symbolism";"landscape";"('ruins-and-columns', 'night', 'Atmospheric phenomenon', 'Atmosphere', 'Sky')";"Arnold Bocklin"
"lament-of-the-shepherd-1866";"Lament of the shepherd";1866;"Symbolism";;"('allegories-and-symbols', 'male-nude', 'musical-instruments', 'shepherds', 'Lady')";"Arnold Bocklin"
"venus-genitrix";"Venus Genitrix";;"Symbolism";"mythological painting";"('Greek-and-Roman-Mythology', 'Aphrodite/Venus')";"Arnold Bocklin"
"the-isle-of-the-dead-1880";"The Isle of the Dead";1880;"Symbolism";"allegorical painting";"('allegories-and-symbols', 'boats-and-ships', 'islands-and-bays', 'Ruins', 'Formation')";"Arnold Bocklin"
"at-alban-hills-1851";"At Alban Hills";1851;"Romanticism";"landscape";"('cliffs-and-rocks', 'Tree', 'Sky', 'Plant community')";"Arnold Bocklin"
"the-isle-of-the-dead-1883";"The Isle of the Dead";1883;"Symbolism";"allegorical painting";"('allegories-and-symbols', 'boats-and-ships', 'islands-and-bays', 'Formation', 'Rock')";"Arnold Bocklin"
"high-mountains-with-chamoises-1849";"High mountains with chamoises";1849;"Romanticism";"landscape";"('animals', 'goats', 'mountains', 'Rock')";"Arnold Bocklin"
"astolf-rides-away-with-his-head-lost-1873";"Astolf rides away with his head lost";1873;"Symbolism";"literary painting";"('knights-and-warriors', 'fictional-characters', 'horsemen')";"Arnold Bocklin"
"self-portrait";"Self-portrait";;"Symbolism";"self-portrait";"('male-portraits', 'famous-people', 'Lady')";"Arnold Bocklin"
"head";"Head";1908;"Cubism";"portrait";"('female-portraits')";"Pablo Picasso"
"dutchwoman-beside-the-canal-1905";"Dutchwoman beside the canal";1905;"Naïve Art (Primitivism)";;"('mills-and-windmills', 'walking')";"Pablo Picasso"
"child-playing-in-camomilles-1953";"Child playing in camomilles";1953;"Expressionism";;"('children', 'games-and-toys', 'Leaf', 'Pattern', 'Organism')";"Pablo Picasso"
"guitar-and-bottle-1913";"Guitar and bottle";1913;"Synthetic Cubism";"still life";"('musical-instruments')";"Pablo Picasso"
"claude-with-a-ball-1948";"Claude with a ball";1948;"Surrealism";"portrait";"('male-portraits', 'children portraits')";"Pablo Picasso"
"untitled-1937-11";"Untitled";1937;"Surrealism";"portrait";"('female-portraits', 'Marie-Thérèse Walter')";"Pablo Picasso"
"two-dressed-models-1933";"Two dressed models";1933;"Neoclassicism";;"('arts-and-crafts', 'studios-and-workshops', 'Head', 'Text', 'Hairstyle', 'Organism')";"Pablo Picasso"
"glass-1914";"Glass";1914;"Cubism";"sculpture";"('dishware-and-cutlery')";"Pablo Picasso"
"man-and-woman-on-the-beach-1956";"Man and woman on the beach";1956;"Surrealism";"nude painting (nu)";"('female-nude', 'couples', 'male-nude')";"Pablo Picasso"
"landscape-with-posters-1912";"Landscape with Posters";1912;"Analytical Cubism";"still life";"('dishware-and-cutlery', 'words', 'Text', 'Font', 'Drink', 'Graphic design')";"Pablo Picasso"
"guitar-1912";"Guitar";1912;"Synthetic Cubism";"still life";"('musical-instruments')";"Pablo Picasso"
"sleeper-near-the-shutters-1936";"Sleeper near the shutters";1936;"Surrealism";;"('couples', 'leisure-and-sleep')";"Pablo Picasso"
"bust-of-woman-1906-1";"Bust of woman";1906;"Expressionism";"nude painting (nu)";"('female-portraits', 'Human', 'Figure drawing', 'Sketch')";"Pablo Picasso"
"portrait-of-mateu-fernandez-de-soto-1901";"Portrait of Mateu Fernandez de Soto";1901;"Post-Impressionism";"portrait";"('male-portraits', 'Facial hair')";"Pablo Picasso"
"the-shadow-1953";"The shadow";1953;"Surrealism";;"('allegories-and-symbols', 'roads-and-vehicles', 'female-nude', 'walking')";"Pablo Picasso"
"drawing-nude-seated-in-armchair-1965";"Drawing nude seated in armchair";1965;"Naïve Art (Primitivism)";;"('arts-and-crafts', 'female-nude', 'Sketch')";"Pablo Picasso"
"three-women-1908";"Three women";1908;"Cubism";"nude painting (nu)";"('female-nude', 'Orange')";"Pablo Picasso"
"still-life-on-the-piano-cort-1911";"Still life on the piano ('CORT')";1911;"Analytical Cubism";"still life";"('lamps-and-candles', 'musical-instruments')";"Pablo Picasso"
"portrait-of-the-artist-1903";"Portrait of the Artist";1903;"Post-Impressionism";"portrait";"('male-portraits', 'Face', 'Nose', 'Chin', 'Forehead', 'Cheek', 'Head')";"Pablo Picasso"
"on-the-beach-dinard-1928";"On the beach, Dinard";1928;"Cubism";"landscape";"('Dinard')";"Pablo Picasso"
"cubist-person-1917";"Cubist Person";1917;"Synthetic Cubism";"portrait";"('allegories-and-symbols', 'male-portraits')";"Pablo Picasso"
"the-shell-saint-jacques-our-future-is-in-the-air-1912";"The shell Saint Jacques (Our future is in the air)";1912;"Analytical Cubism";"still life";"('allegories-and-symbols', 'seashells')";"Pablo Picasso"
"bearded-man-1962";"Bearded man";1962;"Expressionism";"portrait";"('male-portraits')";"Pablo Picasso"
"clarinet-and-violin-1913";"Clarinet and Violin";1913;"Synthetic Cubism";"still life";"('musical-instruments')";"Pablo Picasso"
"flowers-in-a-grey-jar-1908";"Flowers in a Grey Jar";1908;"Cubism";"still life";"('flowers-and-plants', 'Still life photography', 'Plant', 'Flower')";"Pablo Picasso"
"danae-1962";"Danae";1962;"Surrealism";"mythological painting";"('Greek-and-Roman-Mythology', 'Danae')";"Pablo Picasso"
"two-roosters-1905";"Two roosters";1905;"Post-Impressionism";"animal painting";"('birds', 'hens', 'chicken', 'Bird', 'rooster', 'Fowl', 'Galliformes', 'Poultry', 'Comb')";"Pablo Picasso"
"leaning-woman-with-bonnet-1921";"Leaning woman with bonnet";1921;"Neoclassicism";"portrait";"('female-portraits')";"Pablo Picasso"
"the-toilette";"Woman Plaiting Her Hair";1906;"Neoclassicism";"nude painting (nu)";"('female-nude')";"Pablo Picasso"
"musicians-with-masks-1921-1";"Musicians with masks";1921;"Cubism";;"('allegories-and-symbols')";"Pablo Picasso"
"untitled-1936-5";"Untitled";1936;"Surrealism";"portrait";"('female-portraits')";"Pablo Picasso"
"nude-study-to-harem-1906";"Nude, study to ""Harem""";1906;"Post-Impressionism";"sketch and study";"('female-nude', 'Human', 'Figure drawing')";"Pablo Picasso"
